C,4
NULL,11
DATA,12
SIZE,16
CNT,20
TENTH,24
FLAG,28
OPDV,32
MAIN,48
CONT1,96
CONT2,132
WHILE1,144
IF1,192
TRUE,264
CONT3,288
WHILE2,300
IF2,396
WHILE3,516
CONT4,600
IF3,696
CONT5,744
ELSE2,756
CONT6,780
ENDWHL1,804
CONT7,828
LSTCALL,864
ELSE1,888
AR1,1008
AR7,1224
RESET,1440
FOR1,1464
OUT1,1572
AR2,1776
AR4,1872
AR6,1968
AR8,2064
GETDAT,2160
IF4,2196
ELSE3,2304
CONT8,2316
CONT9,2340
OUT2,2352
AR3,2400
FLUSH,2496
WHILE4,2544
ENDWHL4,2616
AR5,2664
OPD,2904
IF5,3000
ELIF1,3060
ELIF2,3120
ELIF3,3180
ELIF4,3240
ELIF5,3300
ELIF6,3360
ELIF7,3420
ELIF8,3480
ELIF9,3540
ELSE4,3600
CONT10,3612
IF6,3636
ELSE5,3732
ENDIF1,3756
DALLOC,3792
PRINT1,3840
PRINT2,4164
PRINT3,4524
EXIT,4968
